Functional Group,Ecomorphotype,Realm,Ocean Basin,Ecosystem,Top-down: Direct Predation: Effect Size,Top-down: Direct Predation: Strength of Evidence,Top-down: Risk Effects: Effect Size,Top-down: Risk Effects: Strength of Evidence,Top-down: Trophic Cascade: Effect Size,Top-down: Trophic Cascade: Strength of Evidence,Competition: Effect Size,Competition: Strength of Evidence,Facilitation: Effect Size,Facilitation: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Sharks as Food: Effect Size,Bottom-up: Nutrient Vector Storage: Sharks as Food: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Carcass Deposition: Effect Size,Bottom-up: Nutrient Vector Storage: Carcass Deposition: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Bioturbation: Effect Size,Bottom-up: Nutrient Vector Storage: Bioturbation: Strength of Evidence,Bottom-up: Nutrient Vector Storage: Excretion & Egestion: Effect Size,Bottom-up: Nutrient Vector Storage: Excretion & Egestion: Strength of Evidence,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Kelp,Medium,Medium,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Kelp,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,Medium,High,High,High,,,,,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Coastal,Medium,High,,,,,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,South Africa,Kelp,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,,,Medium,High,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,,,Medium,Low,,,,,,,,,,,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,,,Medium,Low,,,,,,,,,,,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,,,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,,,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,East Pacific,Deep Sea,,,,,,,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,East Pacific,Deep Sea,,,High,Medium,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Kelp,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Coastal,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Kelp,Medium,High,Medium,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Kelp,Medium,High,Medium,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Kelp,Medium,High,Medium,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Seagrass,,,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,East Pacific,Seagrass,,,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,NW Atlantic,Coastal,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,NW Atlantic,Coastal,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,NW Atlantic,Coastal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,NW Atlantic,Coastal,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Inshore/Shelf,NW Atlantic,Coastal,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Macroceanic,Pelagic,NW Atlantic,Open Ocean,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,West Pacific,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Global,Seagrass,,,High,High,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Littoral,Inshore/Shelf,East Pacific,Seagrass,High,Medium,,,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coastal,High,Medium,Medium,Low,High,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pelagic,Global,Open Ocean,,,,,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coral Reef,,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Estuary/River,,,,,,,,,,,,,,,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Pelagic,East Pacific,Open Ocean,,,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coral Reef,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coral Reef,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Macroceanic,Pelagic,West Pacific,Open Ocean,Medium,High,,,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Macroceanic,Pelagic,West Pacific,Open Ocean,,,,,High,Medium,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,,,High,High,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Global,Coral Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coastal,,,,,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coastal,,,,,,,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,West Pacific,Seagrass/Reef,,,High,Medium,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,Low,High,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,Low,High,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,,,High,High,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,West Pacific,Coral Reef,,,,,Low,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Aquilopelagic,Inshore/Shelf,North Atlantic,,Low,Medium,,,,,,,,,,,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,High,Medium,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,High,Medium,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,North Atlantic,,,,,,Medium,Medium,,,,,,,,,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,South Atlantic,Coastal,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coastal,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Estuary/River,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,NW Atlantic,Coastal,,,,,,,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,North Atlantic,,,,,,,,,,,,,,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,North Atlantic,,,,,,,,,,,,,,,,Medium,Low,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,High,Medium,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,Indian,Coral Reef,,,,,,,,,,,,,,,Medium,High,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Aquilopelagic,Inshore/Shelf,North Atlantic,Seagrass,,,,,Medium,High,,,,,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Aquilopelagic,Inshore/Shelf,North Atlantic,,Low,Medium,,,,,,,,,,,,,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Seagrass,,,High,High,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Indian,Coral Reef,High,Medium,,,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Gulf of Mexico,Coastal,High,High,,,High,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,High,Medium,,,High,Medium,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,Low,Medium,,,Low,Medium,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Archipelagic,Pelagic,East Pacific,Open Ocean,High,Medium,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Aquilopelagic,Inshore/Shelf,West Pacific,,Low,Medium,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,Gulf of Mexico,Seagrass,,,,,,,,,,,,,,,Low,Medium,,,,,,,,,,,,,,,,,,,,,,,,
Apex sharks,Littoral,Inshore/Shelf,South Africa,Coastal,High,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large herbivores / bioturbators,Rajobenthic,Inshore/Shelf,East Pacific,Coastal,Medium,Medium,,,,,,,,,,,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,
Meso sharks / baby apex sharks,Littoral,Inshore/Shelf,Central Pacific,Coral Reef,,,,,,,,,,,,,,,,,High,High,,,,,,,,,,,,,,,,,,,,,,
