basin,region,site_name,sample_unique,age_group,sampling_group,total_dd_count,fragment_count,sed_weight_kg,no_years
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-1-1,Pre-Exploitation,AT16-1-1_2,2,1,0.922568,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-1-2,Pre-Exploitation,AT16-1-1_1,1,0,0.9171244,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-1-3,Pre-Exploitation,AT16-1-1_2,6,4,0.99338875,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-1-4,Pre-Exploitation,AT16-1-1_1,2,0,0.8174073,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-1-5,Pre-Exploitation,AT16-1-1_1,1,0,1.03371825,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-2-1,Pre-Exploitation,AT16-1-2_2,11,0,0.96769705,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-2-2,Pre-Exploitation,AT16-1-2_2,4,0,0.90271705,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-2-3,Pre-Exploitation,AT16-1-2_1,4,1,1.01647585,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-2-4,Pre-Exploitation,AT16-1-2_2,2,0,1.9487168,25
Caribbean,Dominican Republic,Cañon de Buho,AT16-1-2-5,Pre-Exploitation,AT16-1-2_1,15,0,1.525758,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-1-1,Pre-Exploitation,AT16-2-1_2,0,0,1.386706,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-1-2,Pre-Exploitation,AT16-2-1_1,1,0,2.2925373,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-1-3,Pre-Exploitation,AT16-2-1_2,1,0,2.2953868,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-1-4,Pre-Exploitation,AT16-2-1_2,0,0,1.66287585,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-1-5,Pre-Exploitation,AT16-2-1_1,0,3,1.4985844,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-2-1,Pre-Exploitation,AT16-2-2_2,2,1,1.65253875,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-2-2,Pre-Exploitation,AT16-2-2_1,31,4,3.25182585,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-2-3,Pre-Exploitation,AT16-2-2_1,.,.,2.19572585,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-2-4,Pre-Exploitation,AT16-2-2_2,6,3,2.239838,25
Caribbean,Dominican Republic,Cañada Honda,AT16-2-2-5,Pre-Exploitation,AT16-2-2_1,2,0,1.757688,25
Caribbean,Dominican Republic,Las Clavellinas,AT16-3-1-1,Pre-Exploitation,AT16-3-1_2,2,0,4.54522185,25
Caribbean,Dominican Republic,Las Clavellinas,AT16-3-1-2,Pre-Exploitation,AT16-3-1_2,4,0,1.266278,25
Caribbean,Dominican Republic,Las Clavellinas,AT16-3-1-3,Pre-Exploitation,AT16-3-1_1,5,0,1.506938,25
Caribbean,Dominican Republic,Las Clavellinas,AT16-3-1-4,Pre-Exploitation,AT16-3-1_1,2,0,1.3210473,25
Caribbean,Dominican Republic,Las Clavellinas,AT16-3-1-5,Pre-Exploitation,AT16-3-1_1,0,1,0.6956944,25
Caribbean,Dominican Republic,Los Rios,AT16-4-1-1,Pre-Exploitation,AT16-4-1_1,1,2,1.90722585,25
Caribbean,Dominican Republic,Los Rios,AT16-4-1-2,Pre-Exploitation,AT16-4-1_2,1,0,2.78356705,25
Caribbean,Dominican Republic,Los Rios,AT16-4-1-3,Pre-Exploitation,AT16-4-1_1,1,0,2.58302585,25
Caribbean,Dominican Republic,Los Rios,AT16-4-1-4,Pre-Exploitation,AT16-4-1_1,2,0,3.3579144,25
Caribbean,Dominican Republic,Los Rios,AT16-4-1-5,Pre-Exploitation,AT16-4-1_2,1,0,2.44852585,25
Caribbean,Dominican Republic,La Farola,AT16-7-1-1,Sub-Recent,AT16-7-1_2,.,.,6.4690192,70
Caribbean,Dominican Republic,La Farola,AT16-7-1-2,Sub-Recent,AT16-7-1_2,.,.,6.682463,70
Caribbean,Dominican Republic,La Farola,AT16-7-1-3,Sub-Recent,AT16-7-1_2,21,2,6.3044421,70
Caribbean,Dominican Republic,La Farola,AT16-7-1-5,Sub-Recent,AT16-7-1_1,11,1,6.8681192,70
Caribbean,Dominican Republic,La Farola,AT16-7-2-1,Sub-Recent,AT16-7-2_2,32,8,6.9649192,70
Caribbean,Dominican Republic,La Farola,AT16-7-2-2,Sub-Recent,AT16-7-2_2,5,0,6.5864192,70
Caribbean,Dominican Republic,La Farola,AT16-7-2-3,Sub-Recent,AT16-7-2_1,20,1,5.9847144,70
Caribbean,Dominican Republic,La Farola,AT16-7-2-5,Sub-Recent,AT16-7-2_1,13,0,4.9917192,70
Caribbean,Dominican Republic,Cayo Carrenero,AT16-8-1-4,Sub-Recent,AT16-8-1_1,3,0,6.8202144,70
Caribbean,Dominican Republic,Bridge Island Reef,AT16-9-2-1,Sub-Recent,AT16-9-2_1,4,0,5.3582556,70
Caribbean,Dominican Republic,Bridge Island Reef,AT16-9-2-2,Sub-Recent,AT16-9-2_2,5,1,5.08692585,70
Caribbean,Dominican Republic,Bridge Island Reef,AT16-9-2-3,Sub-Recent,AT16-9-2_2,3,0,5.0437556,70
Caribbean,Dominican Republic,Bridge Island Reef,AT16-9-2-4,Sub-Recent,AT16-9-2_2,5,2,5.54346705,70
Caribbean,Dominican Republic,Bridge Island Reef,AT16-9-2-5,Sub-Recent,AT16-9-2_1,3,0,5.96192585,70
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-1,Sub-Recent,AT14-1-1,9,1,7.184,54.3
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-2,Sub-Recent,AT14-1-2,39,1,7.883,54.3
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-3,Sub-Recent,AT14-1-3,18,1,7.525,54.3
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-5,Sub-Recent,AT14-1-5,8,0,4.215,54.3
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-7,Sub-Recent,AT14-1-7,35,5,5.844,54.3
Caribbean,"Bocas del Toro, Panama",Casa Blanca,AT14-1-8,Sub-Recent,AT14-1-8,20,0,6.462,54.3
Caribbean,"Bocas del Toro, Panama",Punta Donato,AT14-2-1,Sub-Recent,AT14-2-1,28,0,6.899,65.3
Caribbean,"Bocas del Toro, Panama",Punta Donato,AT14-2-2,Sub-Recent,AT14-2-2,30,1,4.607,65.3
Caribbean,"Bocas del Toro, Panama",Punta Donato,AT14-2-4,Sub-Recent,AT14-2-4,17,1,3.897,65.3
Caribbean,"Bocas del Toro, Panama",Punta Donato,AT14-2-5,Sub-Recent,AT14-2-5,73,1,7.274,65.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-1,Sub-Recent,AT14-3-1,28,0,4.715,356.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-2,Sub-Recent,AT14-3-2,13,2,1.921,356.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-3,Sub-Recent,AT14-3-3,12,0,2.695,356.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-4,Sub-Recent,AT14-3-4,18,0,3.331,356.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-5,Sub-Recent,AT14-3-5,15,3,2.317,356.3
Caribbean,"Bocas del Toro, Panama",Cayo Adriana,AT14-3-6,Sub-Recent,AT14-3-6,26,0,2.946,356.3
Caribbean,"Bocas del Toro, Panama",Sweet Bocas1,AT14-5-1,Pre-Exploitation,AT14-5-1,9,0,2.78,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas1,AT14-5-2,Pre-Exploitation,AT14-5-2,11,0,2.551,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas1,AT14-5-3,Pre-Exploitation,AT14-5-3,23,1,3.628,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas2,AT14-6-1,Pre-Exploitation,AT14-6-1,4,0,3.484,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas2,AT14-6-2,Pre-Exploitation,AT14-6-2,3,1,3.641,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas2,AT14-6-3,Pre-Exploitation,AT14-6-3,3,0,3.819,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas3,AT14-7-1,Pre-Exploitation,AT14-7-1,16,0,3.86,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas3,AT14-7-2,Pre-Exploitation,AT14-7-2,6,0,2.778,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas3,AT14-7-3,Pre-Exploitation,AT14-7-3,12,0,3.956,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas4,AT14-9-1,Pre-Exploitation,AT14-9-1,16,0,2.649,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas4,AT14-9-2,Pre-Exploitation,AT14-9-2,13,0,2.994,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas4,AT14-9-3,Pre-Exploitation,AT14-9-3,17,0,3.388,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas5,AT14-10-1,Pre-Exploitation,AT14-10-1,16,0,3.749,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas5,AT14-10-2,Pre-Exploitation,AT14-10-2,22,0,4.018,20
Caribbean,"Bocas del Toro, Panama",Sweet Bocas5,AT14-10-3,Pre-Exploitation,AT14-10-3,12,0,3.485,20
